,0
0,3.804144077897341e-05
1,2.0452835082013878e-05
2,8.163443969391955e-06
3,1.4433010561563597e-05
4,0.5565397827010363
5,2.8017938671240076e-06
6,0.0001789714121473196
7,9.417357287826283e-07
8,0.008136981715709146
9,1.117595770953086e-05
10,3.8663194478363046e-05
11,5.608010250101414e-05
12,0.0007266609783920896
13,1.050217441186594e-05
14,5.663421772264591e-06
15,9.451176526705217e-06
16,0.00030110048817889217
17,2.6613139517807426e-06
18,2.329365114784435e-05
19,0.08200630043575283
20,0.9597177302721472
21,1.153756341754408e-05
22,5.850728326055611e-05
23,2.9760930213462068e-05
24,1.3402824515712987e-05
25,0.0002977731953691878
26,0.0005721200641149293
27,0.0013602175921504736
28,0.0006056427342836944
29,0.014208411793208767
30,0.003026324997001079
31,3.737286044113602e-05
32,0.028464784470107692
33,4.299465853478038e-05
34,1.7835746288767127e-05
35,6.0791382624841046e-05
36,0.0007016815682601261
37,4.6722579251204434e-05
38,2.5796274824885476e-05
39,8.064067436686164e-05
40,0.0009210929856669096
41,0.00017880751891275246
42,8.030768493789983e-06
43,0.0007566222225589115
44,1.3376809716575345e-05
45,0.03382764946349537
46,7.199595661342331e-05
47,6.605157501047219e-06
48,9.651490480065058e-07
49,0.00014628381703087284
50,4.648844605896566e-06
51,0.0033203286479752225
52,2.235191541906172e-05
53,0.0018444492588587942
54,1.1108319231772992e-05
55,3.3946711394708614e-05
56,3.3533076088420107e-06
57,0.00021418764573994515
58,4.6324552824398515e-05
59,2.075980971183805e-06
60,0.0005047495387881787
61,0.006007917546884983
62,9.30367261559479e-05
63,0.525870829336994
64,1.2089077159262082e-05
65,0.001164279328005584
66,2.68472727100462e-06
67,0.16803000646829364
68,3.151172619542535e-05
69,0.02956146954551394
70,2.406368920231854e-06
71,0.0005498774108522457
72,0.0005747241455086072
73,0.041345512778967516
74,1.4100021132601782e-06
75,0.0034479494481047513
76,1.7664048614458691e-06
77,1.2882528532960153e-05
78,0.0004740390684061927
79,8.374163842406852e-06
80,1.828840379376209e-06
81,0.1262042709031649
82,7.91552293361023e-05
83,3.590822724968679e-05
84,0.0006984427257674897
85,4.357478855554979e-06
86,3.2531506321620905e-05
87,0.014986769380447178
88,5.322627903561485e-06
89,2.6464855162722868e-05
90,3.7721458749580417e-06
91,2.9422737824672727e-06
92,0.016210388465285722
93,8.288315005252635e-06
94,0.0006360072078371497
95,0.003664863444794321
96,1.801784988273062e-05
97,0.037807866904916096
98,2.874635304709404e-06
99,0.0019811960505258077
100,6.201928114413773e-06
101,0.00041267275872040974
102,4.26954883446975e-05
103,0.002996845026618303
104,1.4719173352077655e-05
105,5.90015644441713e-06
106,6.541421243159997e-05
107,0.0029124764315350176
108,0.029849044939621174
109,0.0037985795123617995
110,3.419645346642997e-05
111,4.9027490454799484e-05
112,6.423834351057856e-05
113,0.012305736210920104
114,2.9230228311054178e-05
115,0.0005414616233312186
116,3.90221987064625e-07
117,2.8790578205628034e-05
118,2.737277165262656e-05
119,0.15771996175397884
120,6.476904541298646e-05
121,1.291114481201156e-05
122,0.6884643489303405
123,0.00135661454246991
124,0.0004387395874563267
125,0.010031691566501863
126,2.876456340649039e-05
127,2.797891647253361e-05
128,3.585619765141151e-05
129,0.1105608203540059
